,title,year,imdb_score,rotten_score,decade
1456,Arizona,2018,5.7,42.0,2010-2019
1466,"Diana, Our Mother: Her Life and Legacy",2017,7.5,92.0,2010-2019
1467,Justin Bieber's Believe,2013,1.7,53.0,2010-2019
1475,Alternate Endings: Six New Ways to Die in America,2019,7.3,100.0,2010-2019
1489,Ernie & Joe,2019,7.4,91.0,2010-2019
1499,The Newspaperman: The Life and Times of Ben Bradlee,2017,7.3,94.0,2010-2019
1513,Filly Brown,2013,5.7,42.0,2010-2019
1520,Unmasking Jihadi John: Anatomy of a Terrorist,2019,7.1,88.0,2010-2019
1536,Running with Beto,2019,5.7,95.0,2010-2019
1567,The Truth About Killer Robots,2018,5.6,67.0,2010-2019
1573,Any One of Us,2019,7.3,80.0,2010-2019
1579,Saudi Women's Driving School,2019,6.2,100.0,2010-2019
1607,"The Bronx, USA",2019,6.1,100.0,2010-2019
1720,We Are The Heat,2018,6.2,80.0,2010-2019
1801,Song of Parkland,2019,6.2,83.0,2010-2019
